Cell line,Species,Tumor classification,(Potentially) misidentified,Original classification,Unavailable,Doubling Time (Hours),Inoculation Density,Cellosaurus identifier
NCI-H23,Homo sapiens,Non-Small Cell Lung,,,,33.4,20000,NCI-H23 (RRID:CVCL_1547)
NCI-H226,Homo sapiens,Non-Small Cell Lung,,,,61,20000,NCI-H226 (RRID:CVCL_1544)
NCI-H322M,Homo sapiens,Non-Small Cell Lung,,,,35.3,20000,NCI-H322M (RRID:CVCL_1557)
NCI-H460,Homo sapiens,Non-Small Cell Lung,,,,17.8,7500,NCI-H460 (RRID:CVCL_0459)
NCI-H522,Homo sapiens,Non-Small Cell Lung,,,,38.2,20000,NCI-H522 (RRID:CVCL_1567)
NCI/ADR-RES (originally MCF-7/ADR-RES),Homo sapiens,Ovarian,yes,Breast,,34,15000,NCI-ADR-RES (RRID:CVCL_1452)
OVCAR-3,Homo sapiens,Ovarian,,,,34.7,10000,OVCAR-3 (RRID:CVCL_0465)
OVCAR-4,Homo sapiens,Ovarian,,,,41.4,15000,OVCAR-4 (RRID:CVCL_1627)
OVCAR-5,Homo sapiens,Ovarian,,,,48.8,20000,OVCAR-5 (RRID:CVCL_1628)
OVCAR-8,Homo sapiens,Ovarian,,,,26.1,10000,OVCAR-8 (RRID:CVCL_1629)
PC-3,Homo sapiens,Prostate,,,,27.1,7500,PC-3 (RRID:CVCL_0035)
RPMI-8226,Homo sapiens,Leukemia,,,,33.5,20000,RPMI-8226 (RRID:CVCL_0014)
RXF 393,Homo sapiens,Renal,,,,62.9,15000,RXF 393L (RRID:CVCL_1673)
SF-268,Homo sapiens,CNS,,,,33.1,15000,SF268 (RRID:CVCL_1689)
SF-295,Homo sapiens,CNS,,,,29.5,10000,SF295 (RRID:CVCL_1690)
SF-539,Homo sapiens,CNS,,,,35.4,15000,SF539 (RRID:CVCL_1691)
SK-MEL-2,Homo sapiens,Melanoma,,,,45.5,20000,SK-MEL-2 (RRID:CVCL_0069)
SK-MEL-5,Homo sapiens,Melanoma,,,,25.2,10000,SK-MEL-5 (RRID:CVCL_0527)
SK-MEL-28,Homo sapiens,Melanoma,,,,35.1,10000,SK-MEL-28 (RRID:CVCL_0526)
SK-OV-3,Homo sapiens,Ovarian,,,,48.7,20000,SK-OV-3 (RRID:CVCL_0532)
SN12C,Homo sapiens,Renal,,,,29.5,15000,SN12C (RRID:CVCL_1705)
SNB-19,Homo sapiens,CNS,yes,CNS,,34.6,15000,SNB-19 (RRID:CVCL_0535)
SNB-75,Homo sapiens,CNS,,,,62.8,20000,SNB-75 (RRID:CVCL_1706)
SR-786,Homo sapiens,Leukemia,,,,28.7,20000,SR (RRID:CVCL_1711)
SW-620,Homo sapiens,Colon,,,,20.4,10000,SW620 (RRID:CVCL_0547)
T-47D,Homo sapiens,Breast,,,,45.5,20000,T-47D (RRID:CVCL_0553)
TK-10,Homo sapiens,Renal,,,,51.3,15000,TK-10 (RRID:CVCL_1773)
U251,Homo sapiens,CNS,yes,CNS,,23.8,7500,U-251MG (RRID:CVCL_0021)
UACC-62,Homo sapiens,Melanoma,,,,31.3,10000,UACC-62 (RRID:CVCL_1780)
UACC-257,Homo sapiens,Melanoma,,,,38.5,20000,UACC-257 (RRID:CVCL_1779)
UO-31,Homo sapiens,Renal,,,,41.7,15000,UO-31 (RRID:CVCL_1911)
